_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
14495,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000018,"",150.7,105.1,0,:,126,"",87,"",0,:,1.4
14496,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000050,"",32.6,25.8,0,:,105,"",84,"",0,:,1.3
14497,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000029,"",25.5,23.3,0,:,75,"",69,"",0,:,1.1
14498,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000010,"",24.2,18.7,0,:,21,"",18,"",0,:,1.2
14499,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000040,"",40.8,31.6,0,:,63,"",48,"",0,:,1.3
14500,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000019,"",63.1,54,0,:,51,"",45,"",0,:,1.1
14501,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000020,"",33.9,30.7,0,:,30,"",27,"",0,:,1.1
14502,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000013,"",24.2,19.6,0,:,6,"",6,"",0,:,1
14503,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14504,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000048,"",60.7,45.8,0,:,81,"",60,"",0,:,1.4
14505,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000038,"",105.8,84.3,0,:,186,"",147,"",0,:,1.3
14506,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000011,"",39.1,32.4,0,:,36,"",27,"",0,:,1.3
14507,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14508,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2000/01,S12000030,"",26.9,20.7,0,:,24,"",18,"",0,:,1.3
14509,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000033,"",12.7,12.5,0,:,27,"",27,"",0,:,1
14510,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000034,"",13.7,10.8,0,:,33,"",27,"",0,:,1.2
14511,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000041,"",85.9,62,0,:,96,"",69,"",0,:,1.4
14512,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000035,"",140.8,106,0,:,129,"",96,"",0,:,1.3
14513,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000008,"",94,74,0,:,114,"",90,"",0,:,1.3
14514,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000021,"",80,63,0,:,111,"",87,"",0,:,1.3
14515,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000028,"",73.7,58.1,0,:,81,"",63,"",0,:,1.3
14516,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000026,"",44,37.8,0,:,48,"",39,"",0,:,1.2
14517,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000005,"",45.8,42.1,0,:,24,"",21,"",0,:,1.1
14518,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000006,"",39.4,30.6,0,:,57,"",45,"",0,:,1.3
14519,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000045,"",19.6,16.8,0,:,21,"",18,"",0,:,1.2
14520,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000039,"",142.8,96.8,0,:,129,"",87,"",0,:,1.5
14521,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000042,"",142.3,107.8,0,:,192,"",147,"",0,:,1.3
14522,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000036,"",82.3,66.6,0,:,354,"",285,"",0,:,1.2
14523,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000014,"",29.3,24.3,0,:,42,"",36,"",0,:,1.2
14524,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000047,"",28.4,23.8,0,:,99,"",84,"",0,:,1.2
14525,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000049,"",64,50.3,0,:,357,"",279,"",0,:,1.3
14526,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000017,"",73.4,63.1,0,:,156,"",135,"",0,:,1.2
14527,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000018,"",172.2,120.1,0,:,144,"",99,"",0,:,1.5
14528,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000050,"",33.7,26.1,0,:,108,"",84,"",0,:,1.3
14529,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000029,"",25.9,22.4,0,:,81,"",69,"",0,:,1.2
14530,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000010,"",13.7,11,0,:,15,"",12,"",0,:,1.3
14531,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000040,"",76.1,54.3,0,:,123,"",87,"",0,:,1.4
14532,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000019,"",51.3,42.9,0,:,42,"",36,"",0,:,1.2
14533,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000020,"",15.6,15.6,0,:,15,"",15,"",0,:,1
14534,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000013,"",26.5,22.6,0,:,6,"",6,"",0,:,1
14535,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14536,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000048,"",88.1,64.7,0,:,120,"",87,"",0,:,1.4
14537,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000038,"",105.6,83.8,0,:,183,"",147,"",0,:,1.2
14538,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000011,"",35.2,31.3,0,:,30,"",27,"",0,:,1.1
14539,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14540,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2001/02,S12000030,"",41.5,35.7,0,:,36,"",30,"",0,:,1.2
14541,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000033,"",13.6,12.2,0,:,30,"",27,"",0,:,1.1
14542,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000034,"",9.9,7.6,0,:,24,"",18,"",0,:,1.3
14543,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000041,"",70,49.9,0,:,75,"",54,"",0,:,1.4
14544,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000035,"",144.9,108.5,0,:,132,"",99,"",0,:,1.3
14545,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000008,"",61.3,53.2,0,:,75,"",63,"",0,:,1.2
14546,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000021,"",65,55.2,0,:,87,"",75,"",0,:,1.2
14547,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000028,"",56.5,45.3,0,:,63,"",51,"",0,:,1.2
14548,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000026,"",46.3,38.3,0,:,51,"",42,"",0,:,1.2
14549,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000005,"",19.4,19.4,0,:,9,"",9,"",0,:,1
14550,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000006,"",30.4,25.6,0,:,45,"",39,"",0,:,1.2
14551,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000045,"",15.2,13.5,0,:,18,"",15,"",0,:,1.2
14552,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000039,"",154.1,113.4,0,:,141,"",102,"",0,:,1.4
14553,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000042,"",119,92.8,0,:,162,"",126,"",0,:,1.3
14554,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000036,"",83.5,69.5,0,:,357,"",297,"",0,:,1.2
14555,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000014,"",31.4,23.5,0,:,45,"",33,"",0,:,1.4
14556,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000047,"",33,26.9,0,:,117,"",96,"",0,:,1.2
14557,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000049,"",65.1,52.6,0,:,363,"",291,"",0,:,1.2
14558,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000017,"",82.7,72.8,0,:,177,"",156,"",0,:,1.1
14559,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000018,"",152.7,121.7,0,:,126,"",102,"",0,:,1.2
14560,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000050,"",31.7,27,0,:,105,"",90,"",0,:,1.2
14561,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000029,"",18.6,15.9,0,:,57,"",48,"",0,:,1.2
14562,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000010,"",24.4,21.6,0,:,21,"",21,"",0,:,1
14563,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000040,"",56,43,0,:,93,"",72,"",0,:,1.3
14564,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000019,"",55.1,46.5,0,:,45,"",39,"",0,:,1.2
14565,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000020,"",22.3,19.3,0,:,21,"",18,"",0,:,1.2
14566,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000013,"",17.5,17.5,0,:,3,"",3,"",0,:,1
14567,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14568,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000048,"",72.8,58.5,0,:,99,"",78,"",0,:,1.3
14569,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000038,"",127.8,103,0,:,222,"",177,"",0,:,1.3
14570,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000011,"",34.8,28.3,0,:,30,"",24,"",0,:,1.3
14571,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14572,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2002/03,S12000030,"",44.7,40.3,0,:,36,"",33,"",0,:,1.1
14573,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000033,"",20.3,16.1,0,:,42,"",33,"",0,:,1.3
14574,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000034,"",9.5,8.1,0,:,21,"",18,"",0,:,1.2
14575,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000041,"",66.1,47,0,:,72,"",51,"",0,:,1.4
14576,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000035,"",99.6,87.1,0,:,90,"",78,"",0,:,1.2
14577,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000008,"",74.6,58,0,:,93,"",72,"",0,:,1.3
14578,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000021,"",79.5,65.4,0,:,108,"",90,"",0,:,1.2
14579,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000028,"",68.3,52.8,0,:,78,"",60,"",0,:,1.3
14580,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000026,"",49.6,41,0,:,54,"",45,"",0,:,1.2
14581,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000005,"",24.8,23,0,:,12,"",12,"",0,:,1
14582,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000006,"",34.6,31.3,0,:,51,"",45,"",0,:,1.1
14583,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000045,"",15.4,13.5,0,:,15,"",15,"",0,:,1
14584,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000039,"",95.4,83.6,0,:,87,"",78,"",0,:,1.1
14585,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000042,"",125,87.4,0,:,168,"",117,"",0,:,1.4
14586,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000036,"",66.8,58,0,:,291,"",252,"",0,:,1.2
14587,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000014,"",36.4,28.5,0,:,54,"",42,"",0,:,1.3
14588,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000047,"",29.8,26.6,0,:,105,"",93,"",0,:,1.1
14589,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000049,"",78.4,66.1,0,:,441,"",369,"",0,:,1.2
14590,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000017,"",76.6,67.9,0,:,165,"",147,"",0,:,1.1
14591,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000018,"",161.6,123.6,0,:,135,"",102,"",0,:,1.3
14592,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000050,"",41.3,36.1,0,:,135,"",117,"",0,:,1.2
14593,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000029,"",19.8,17.4,0,:,63,"",54,"",0,:,1.2
14594,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000010,"",40.7,33.4,0,:,39,"",30,"",0,:,1.3
14595,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000040,"",59.2,46.7,0,:,99,"",78,"",0,:,1.3
14596,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000019,"",45.2,40.2,0,:,36,"",33,"",0,:,1.1
14597,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000020,"",13.3,11,0,:,12,"",9,"",0,:,1.3
14598,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000013,"",0,0,0,:,0,"",0,"",0,:,0
14599,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14600,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000048,"",75.8,57,0,:,102,"",78,"",0,:,1.3
14601,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000038,"",112.6,92,0,:,195,"",159,"",0,:,1.2
14602,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000011,"",36.7,32,0,:,33,"",27,"",0,:,1.2
14603,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14604,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2003/04,S12000030,"",46.3,34.5,0,:,39,"",30,"",0,:,1.3
14605,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000033,"",10.3,8.6,0,:,21,"",18,"",0,:,1.2
14606,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000034,"",8.8,6.8,0,:,21,"",18,"",0,:,1.2
14607,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000041,"",73.9,55,0,:,81,"",60,"",0,:,1.4
14608,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000035,"",33.6,29.9,0,:,30,"",27,"",0,:,1.1
14609,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000008,"",101.7,71.8,0,:,126,"",87,"",0,:,1.4
14610,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000021,"",86.1,71.9,0,:,117,"",96,"",0,:,1.2
14611,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000028,"",87.4,58.5,0,:,99,"",66,"",0,:,1.5
14612,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000026,"",54.8,44.9,0,:,60,"",51,"",0,:,1.2
14613,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000005,"",30.3,26.5,0,:,15,"",15,"",0,:,1
14614,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000006,"",35.6,31.6,0,:,54,"",48,"",0,:,1.1
14615,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000045,"",25.9,22.2,0,:,27,"",24,"",0,:,1.1
14616,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000039,"",52.8,49.5,0,:,48,"",45,"",0,:,1.1
14617,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000042,"",116.6,84.3,0,:,156,"",114,"",0,:,1.4
14618,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000036,"",68.4,57.5,0,:,297,"",249,"",0,:,1.2
14619,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000014,"",38.4,34.5,0,:,57,"",51,"",0,:,1.1
14620,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000047,"",21.6,17.7,0,:,72,"",60,"",0,:,1.2
14621,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000049,"",74.3,63.4,0,:,420,"",360,"",0,:,1.2
14622,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000017,"",78.3,66.6,0,:,168,"",144,"",0,:,1.2
14623,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000018,"",164.5,139.6,0,:,135,"",114,"",0,:,1.2
14624,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000050,"",53.4,45,0,:,180,"",153,"",0,:,1.2
14625,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000029,"",23.8,20.9,0,:,72,"",63,"",0,:,1.1
14626,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000010,"",46.7,44.8,0,:,42,"",39,"",0,:,1.1
14627,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000040,"",75.7,62.1,0,:,129,"",105,"",0,:,1.2
14628,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000019,"",58.3,54.5,0,:,48,"",45,"",0,:,1.1
14629,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000020,"",14.6,13.5,0,:,12,"",12,"",0,:,1
14630,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000013,"",19.2,15.6,0,:,6,"",3,"",0,:,2
14631,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14632,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000048,"",82,61.2,0,:,111,"",84,"",0,:,1.3
14633,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000038,"",103.1,90.3,0,:,177,"",156,"",0,:,1.1
14634,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000011,"",37.2,36,0,:,30,"",30,"",0,:,1
14635,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14636,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2004/05,S12000030,"",40.3,35.7,0,:,33,"",30,"",0,:,1.1
14637,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000033,"",14.3,13.2,0,:,30,"",27,"",0,:,1.1
14638,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000034,"",4.2,3.4,0,:,9,"",9,"",0,:,1
14639,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000041,"",87.3,59.7,0,:,93,"",63,"",0,:,1.5
14640,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000035,"",27.4,24.5,0,:,24,"",21,"",0,:,1.1
14641,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000008,"",68.3,57.9,0,:,84,"",72,"",0,:,1.2
14642,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000021,"",87.7,70.3,0,:,117,"",96,"",0,:,1.2
14643,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000028,"",69.3,47.5,0,:,78,"",54,"",0,:,1.4
14644,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000026,"",54,46.9,0,:,57,"",48,"",0,:,1.2
14645,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000005,"",14,12.1,0,:,6,"",6,"",0,:,1
14646,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000006,"",33.9,27,0,:,51,"",39,"",0,:,1.3
14647,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000045,"",26.3,23.8,0,:,30,"",27,"",0,:,1.1
14648,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000039,"",56.4,45.9,0,:,54,"",42,"",0,:,1.3
14649,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000042,"",128.9,95.1,0,:,180,"",132,"",0,:,1.4
14650,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000036,"",63.9,55.8,0,:,282,"",246,"",0,:,1.1
14651,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000014,"",36.1,29.1,0,:,57,"",45,"",0,:,1.3
14652,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000047,"",26.9,22.9,0,:,93,"",81,"",0,:,1.1
14653,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000049,"",79,67.3,0,:,453,"",384,"",0,:,1.2
14654,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000017,"",68.6,59.2,0,:,153,"",132,"",0,:,1.2
14655,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000018,"",164.9,119.9,0,:,132,"",96,"",0,:,1.4
14656,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000050,"",42,31.8,0,:,144,"",108,"",0,:,1.3
14657,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000029,"",19,18.1,0,:,57,"",54,"",0,:,1.1
14658,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000010,"",52.4,47.6,0,:,51,"",45,"",0,:,1.1
14659,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000040,"",96.4,68.3,0,:,162,"",114,"",0,:,1.4
14660,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000019,"",71.1,55.2,0,:,57,"",45,"",0,:,1.3
14661,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000020,"",26.7,23.3,0,:,24,"",21,"",0,:,1.1
14662,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000013,"",10.3,10.3,0,:,3,"",3,"",0,:,1
14663,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000023,"",0,0,0,:,0,"",0,"",0,:,0
14664,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000048,"",68.9,48.5,0,:,93,"",66,"",0,:,1.4
14665,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000038,"",124.3,107.9,0,:,219,"",189,"",0,:,1.2
14666,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000011,"",38.4,30.6,0,:,33,"",27,"",0,:,1.2
14667,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000027,"",0,0,0,:,0,"",0,"",0,:,0
14668,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2005/06,S12000030,"",28.3,23.8,0,:,24,"",21,"",0,:,1.1
14669,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000033,"",15.9,15.4,0,:,33,"",33,"",0,:,1
14670,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000034,"",8.2,6.9,0,:,21,"",18,"",0,:,1.2
14671,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000041,"",55.6,44,0,:,63,"",48,"",0,:,1.3
14672,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000035,"",42,37.1,0,:,39,"",33,"",0,:,1.2
14673,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000008,"",79.5,67.4,0,:,96,"",81,"",0,:,1.2
14674,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000021,"",83.2,64.6,0,:,111,"",87,"",0,:,1.3
14675,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000028,"",72.7,61.4,0,:,81,"",69,"",0,:,1.2
14676,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000026,"",51.5,43.6,0,:,57,"",48,"",0,:,1.2
14677,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000005,"",38.8,34.8,0,:,21,"",18,"",0,:,1.2
14678,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000006,"",31.3,29.2,0,:,45,"",42,"",0,:,1.1
14679,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000045,"",18.5,16.5,0,:,21,"",18,"",0,:,1.2
14680,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000039,"",22,21,0,:,21,"",18,"",0,:,1.2
14681,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000042,"",121,89.3,0,:,165,"",120,"",0,:,1.4
14682,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000036,"",67,60.6,0,:,297,"",267,"",0,:,1.1
14683,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000014,"",42.2,33.9,0,:,63,"",51,"",0,:,1.2
14684,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000047,"",31.4,26.8,0,:,111,"",96,"",0,:,1.2
14685,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000049,"",64.1,54.1,0,:,357,"",303,"",0,:,1.2
14686,M&B - Alcohol Dependence syndrome,F10.2,"",SMR04,2006/07,S12000017,"",57.9,48.6,0,:,132,"",111,"",0,:,1.2
